"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.000003070E-1,-3.508771956E-2,0.000000000E0,5.263157934E-2,6.325528601E-2
6.100237690E-1,-3.508771956E-2,0.000000000E0,3.508771956E-2,4.962152887E-2
6.200100000E-1,-3.508771956E-2,-1.754385978E-2,1.754385978E-2,4.297350458E-2
6.313769230E-1,-3.508771956E-2,0.000000000E0,0.000000000E0,3.508771956E-2
6.404240770E-1,-3.508771956E-2,0.000000000E0,-1.754385978E-2,3.922926306E-2
6.500080770E-1,-3.508771956E-2,0.000000000E0,-3.508771956E-2,4.962152887E-2
6.611429230E-1,-3.508771956E-2,0.000000000E0,-5.263157934E-2,6.325528601E-2
6.705023840E-1,-3.508771956E-2,0.000000000E0,-7.017543912E-2,7.845852611E-2
6.867523070E-1,-1.754385978E-2,0.000000000E0,-1.052631587E-1,1.067151329E-1
6.900193840E-1,-1.754385978E-2,0.000000000E0,-1.052631587E-1,1.067151329E-1
7.000286150E-1,-1.754385978E-2,0.000000000E0,-1.052631587E-1,1.067151329E-1
7.100164610E-1,-1.754385978E-2,0.000000000E0,-1.052631587E-1,1.067151329E-1
7.201441530E-1,-1.754385978E-2,0.000000000E0,-1.052631587E-1,1.067151329E-1
7.300157690E-1,-1.754385978E-2,0.000000000E0,-8.771929890E-2,8.945648336E-2
7.412524610E-1,-3.508771956E-2,0.000000000E0,-8.771929890E-2,9.447657627E-2
7.500290770E-1,-3.508771956E-2,0.000000000E0,-1.052631587E-1,1.109571117E-1
7.599979230E-1,-7.017543912E-2,0.000000000E0,-1.228070185E-1,1.414431194E-1
7.704705380E-1,-1.052631587E-1,-1.754385978E-2,-1.403508782E-1,1.763136087E-1
7.800058460E-1,-1.228070185E-1,0.000000000E0,-1.929824501E-1,2.287439395E-1
7.900047690E-1,-1.228070185E-1,0.000000000E0,-2.280701697E-1,2.590319789E-1
7.999980000E-1,-1.052631587E-1,0.000000000E0,-2.456140369E-1,2.672201110E-1
8.100191530E-1,-8.771929890E-2,0.000000000E0,-2.631579041E-1,2.773927863E-1
8.213666150E-1,-8.771929890E-2,0.000000000E0,-2.456140369E-1,2.608082256E-1
8.300150770E-1,-1.052631587E-1,0.000000000E0,-2.280701697E-1,2.511898383E-1
8.400324610E-1,-1.052631587E-1,0.000000000E0,-2.105263174E-1,2.353755783E-1
8.500190770E-1,-8.771929890E-2,0.000000000E0,-1.754385978E-1,1.961463153E-1
8.599971530E-1,-8.771929890E-2,0.000000000E0,-1.403508782E-1,1.655084421E-1
8.699985380E-1,-8.771929890E-2,0.000000000E0,-1.228070185E-1,1.509179883E-1
8.829466150E-1,-8.771929890E-2,0.000000000E0,-1.228070185E-1,1.509179883E-1
8.900148460E-1,-1.052631587E-1,0.000000000E0,-1.228070185E-1,1.617463952E-1
9.000166920E-1,-1.052631587E-1,0.000000000E0,-1.403508782E-1,1.754385978E-1
9.123250000E-1,-1.052631587E-1,0.000000000E0,-1.754385978E-1,2.045948049E-1
9.200248460E-1,-1.228070185E-1,0.000000000E0,-1.929824501E-1,2.287439395E-1
9.302057690E-1,-1.228070185E-1,0.000000000E0,-2.280701697E-1,2.590319789E-1
9.400152300E-1,-1.228070185E-1,0.000000000E0,-2.456140369E-1,2.746048414E-1
9.502855380E-1,-1.052631587E-1,0.000000000E0,-2.631579041E-1,2.834297357E-1
9.600018460E-1,-1.052631587E-1,0.000000000E0,-2.631579041E-1,2.834297357E-1
9.700273840E-1,-8.771929890E-2,0.000000000E0,-2.631579041E-1,2.773927863E-1
9.799986920E-1,-5.263157934E-2,0.000000000E0,-2.631579041E-1,2.683694574E-1
9.904451530E-1,-3.508771956E-2,0.000000000E0,-2.456140369E-1,2.481076444E-1
1.004498384E0,-3.508771956E-2,0.000000000E0,-2.280701697E-1,2.307534406E-1
1.010656230E0,-3.508771956E-2,0.000000000E0,-1.929824501E-1,1.961463079E-1
1.020069923E0,-3.508771956E-2,0.000000000E0,-1.929824501E-1,1.961463079E-1
1.029997538E0,-3.508771956E-2,0.000000000E0,-1.929824501E-1,1.961463079E-1
1.042246384E0,-1.754385978E-2,0.000000000E0,-1.929824501E-1,1.937782575E-1
1.050013692E0,-1.754385978E-2,0.000000000E0,-2.105263174E-1,2.112560468E-1
1.060730461E0,-1.754385978E-2,0.000000000E0,-2.280701697E-1,2.287439383E-1
1.070401000E0,-1.754385978E-2,0.000000000E0,-2.456140369E-1,2.462398062E-1
1.080014384E0,-1.754385978E-2,0.000000000E0,-2.456140369E-1,2.462398062E-1
1.089997461E0,-1.754385978E-2,0.000000000E0,-2.631579041E-1,2.637420511E-1
1.100031461E0,-1.754385978E-2,0.000000000E0,-2.631579041E-1,2.637420511E-1
1.111858769E0,-1.754385978E-2,0.000000000E0,-2.456140369E-1,2.462398062E-1
1.120222461E0,-1.754385978E-2,0.000000000E0,-2.456140369E-1,2.462398062E-1
1.130380769E0,0.000000000E0,0.000000000E0,-2.456140369E-1,2.456140369E-1
1.140014769E0,0.000000000E0,0.000000000E0,-2.280701697E-1,2.280701697E-1
1.150089154E0,0.000000000E0,1.754385978E-2,-2.280701697E-1,2.287439383E-1
1.160148384E0,3.508771956E-2,1.754385978E-2,-2.280701697E-1,2.314193972E-1
1.170017538E0,5.263157934E-2,1.754385978E-2,-2.280701697E-1,2.347208394E-1
1.179997692E0,7.017543912E-2,1.754385978E-2,-2.280701697E-1,2.392663402E-1
1.190000923E0,7.017543912E-2,1.754385978E-2,-2.280701697E-1,2.392663402E-1
1.203222307E0,8.771929890E-2,1.754385978E-2,-2.280701697E-1,2.449866623E-1
1.210561538E0,1.052631587E-1,3.508771956E-2,-2.280701697E-1,2.536286319E-1
1.220058692E0,1.052631587E-1,3.508771956E-2,-2.280701697E-1,2.536286319E-1
1.229997307E0,1.228070185E-1,3.508771956E-2,-2.280701697E-1,2.613976170E-1
1.241778846E0,1.403508782E-1,3.508771956E-2,-2.280701697E-1,2.700842820E-1
1.249998923E0,1.403508782E-1,3.508771956E-2,-2.280701697E-1,2.700842820E-1
1.260076154E0,1.754385978E-1,5.263157934E-2,-2.105263174E-1,2.790521726E-1
1.270014538E0,1.754385978E-1,5.263157934E-2,-2.105263174E-1,2.790521726E-1
1.281465307E0,1.929824501E-1,5.263157934E-2,-2.105263174E-1,2.904025473E-1
1.290020307E0,1.929824501E-1,5.263157934E-2,-2.105263174E-1,2.904025473E-1
1.300605461E0,1.929824501E-1,5.263157934E-2,-2.280701697E-1,3.033616843E-1
1.310351692E0,1.929824501E-1,5.263157934E-2,-2.280701697E-1,3.033616843E-1
1.320003384E0,1.929824501E-1,5.263157934E-2,-2.456140369E-1,3.167626309E-1
1.330337461E0,1.929824501E-1,5.263157934E-2,-2.456140369E-1,3.167626309E-1
1.340000923E0,1.929824501E-1,5.263157934E-2,-2.456140369E-1,3.167626309E-1
1.350013769E0,2.105263174E-1,5.263157934E-2,-2.456140369E-1,3.277463479E-1
1.361118077E0,2.280701697E-1,5.263157934E-2,-2.280701697E-1,3.268058870E-1
1.369998923E0,2.456140369E-1,5.263157934E-2,-2.280701697E-1,3.392820959E-1
1.380004307E0,2.631579041E-1,5.263157934E-2,-2.280701697E-1,3.521905279E-1
1.390092000E0,2.631579041E-1,5.263157934E-2,-2.105263174E-1,3.410916240E-1
1.403497769E0,3.157894611E-1,5.263157934E-2,-2.105263174E-1,3.831636690E-1
1.410006461E0,3.157894611E-1,5.263157934E-2,-2.105263174E-1,3.831636690E-1
1.420020538E0,3.333333433E-1,5.263157934E-2,-2.105263174E-1,3.977468179E-1
1.429998384E0,3.508771956E-1,5.263157934E-2,-1.929824501E-1,4.038899796E-1
1.441541154E0,3.859649003E-1,7.017543912E-2,-1.578947306E-1,4.228761550E-1
1.450005154E0,3.859649003E-1,7.017543912E-2,-1.578947306E-1,4.228761550E-1
1.460335846E0,4.035087824E-1,7.017543912E-2,-1.403508782E-1,4.329460691E-1
1.470081077E0,4.210526347E-1,7.017543912E-2,-1.228070185E-1,4.441750525E-1
1.480013538E0,4.210526347E-1,7.017543912E-2,-1.052631587E-1,4.396478659E-1
1.489998615E0,4.561403394E-1,7.017543912E-2,-7.017543912E-2,4.668117326E-1
1.500010692E0,4.561403394E-1,7.017543912E-2,-7.017543912E-2,4.668117326E-1
1.510844307E0,4.912280738E-1,7.017543912E-2,-5.263157934E-2,4.989986933E-1
1.520248077E0,5.263158083E-1,7.017543912E-2,-3.508771956E-2,5.321316288E-1
1.530018538E0,5.438596606E-1,8.771929890E-2,0.000000000E0,5.508883788E-1
1.539999615E0,5.438596606E-1,7.017543912E-2,0.000000000E0,5.483684188E-1
1.550252923E0,5.438596606E-1,7.017543912E-2,1.754385978E-2,5.486489859E-1
1.559999538E0,5.438596606E-1,7.017543912E-2,3.508771956E-2,5.494898277E-1
1.570015000E0,5.263158083E-1,7.017543912E-2,3.508771956E-2,5.321316288E-1
1.580081615E0,5.263158083E-1,7.017543912E-2,3.508771956E-2,5.321316288E-1
1.590006154E0,5.438596606E-1,7.017543912E-2,3.508771956E-2,5.494898277E-1
1.601314230E0,5.438596606E-1,7.017543912E-2,5.263157934E-2,5.508883788E-1
1.610014692E0,5.263158083E-1,7.017543912E-2,8.771929890E-2,5.381706028E-1
1.621639307E0,5.263158083E-1,5.263157934E-2,1.228070185E-1,5.430101076E-1
