"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.999999692E0,-1.405110955E-2,1.110816002E-2,1.480436325E-1,1.491232444E-1
3.015543616E0,-1.493909955E-2,9.088158607E-3,1.530494690E-1,1.540451599E-1
3.020003846E0,-1.285219193E-2,1.103654504E-2,1.510553360E-1,1.520022983E-1
3.030045231E0,-8.820623159E-3,1.394236088E-2,1.490612030E-1,1.499714475E-1
3.039996923E0,-6.817191839E-3,1.286321878E-2,1.490650177E-1,1.497742168E-1
3.050000231E0,-6.814926863E-3,7.856130600E-3,1.510648727E-1,1.514224481E-1
3.060579539E0,-1.887589693E-3,8.843779564E-3,1.620626450E-1,1.623147446E-1
3.070136308E0,-9.713768959E-4,6.858110428E-3,1.650590897E-1,1.652043593E-1
3.080013385E0,-3.027856350E-3,-1.019507647E-3,1.630506516E-1,1.630819496E-1
3.090013231E0,-8.011966944E-3,-1.887589693E-3,1.570444107E-1,1.572599807E-1
3.099988692E0,-7.004946470E-3,5.141735077E-3,1.480436325E-1,1.482984283E-1
3.109992539E0,-2.065598965E-3,1.108169556E-2,1.420450211E-1,1.424916092E-1
3.119985462E0,1.815259457E-3,1.102885604E-2,1.500415802E-1,1.504573249E-1
3.129998462E0,4.654705524E-3,1.394098997E-2,1.570386887E-1,1.577249734E-1
3.139999077E0,-8.322566748E-3,2.075308561E-2,1.510486603E-1,1.526946412E-1
3.150301769E0,-1.323056221E-2,1.958164573E-2,1.510601044E-1,1.528974943E-1
3.159995769E0,-1.412540674E-2,1.645365357E-2,1.510705948E-1,1.526190501E-1
3.170124539E0,-1.106864214E-2,1.436161995E-2,1.590766907E-1,1.601067284E-1
3.179996308E0,-8.054435253E-3,3.421872854E-3,1.600751877E-1,1.603142191E-1
3.189989769E0,-5.079478025E-3,-4.410594702E-3,1.570663452E-1,1.572103408E-1
3.201320462E0,-3.132671118E-3,3.645807505E-3,1.590604782E-1,1.591330929E-1
3.209987077E0,-2.199441195E-3,1.356583834E-2,1.600618362E-1,1.606507421E-1
3.220093231E0,-1.280039549E-3,7.570564747E-3,1.630592346E-1,1.632399030E-1
3.230542231E0,-4.320710897E-3,3.631293774E-3,1.650543213E-1,1.651507911E-1
3.239989000E0,1.561224461E-3,7.632642984E-3,1.610498428E-1,1.612381671E-1
3.253181308E0,6.372720003E-3,4.675894976E-3,1.560392380E-1,1.562393015E-1
3.260134077E0,1.260638237E-3,3.728389740E-3,1.570320129E-1,1.570813267E-1
3.270010539E0,-1.364287734E-2,3.780394793E-3,1.550340652E-1,1.556790958E-1
3.281289692E0,-1.158034801E-2,3.835409880E-3,1.610345840E-1,1.614959816E-1
3.290035385E0,-4.615277052E-3,7.836490870E-3,1.630334854E-1,1.632869521E-1
3.299985846E0,-4.651784897E-3,4.880636930E-3,1.680297852E-1,1.681650036E-1
3.310697231E0,-5.675166845E-3,3.938347101E-3,1.690254211E-1,1.691665188E-1
3.319990154E0,-9.643405676E-3,4.980981350E-3,1.670246124E-1,1.673768999E-1
3.332020616E0,-1.652008295E-2,2.064764500E-3,1.690254211E-1,1.698433672E-1
3.340089616E0,-1.343876123E-2,1.160293818E-3,1.710252762E-1,1.715563805E-1
3.349999692E0,-7.431149483E-3,4.208028316E-3,1.570224762E-1,1.572545310E-1
3.360182154E0,-9.387820959E-3,1.114895940E-2,1.440286636E-1,1.447642443E-1
3.369986000E0,-1.427423954E-2,1.404830813E-2,1.450366974E-1,1.464129518E-1
3.380075923E0,-1.515111327E-2,9.022593498E-3,1.480436325E-1,1.490901759E-1
3.390009769E0,-1.108762622E-2,8.012831211E-3,1.500463486E-1,1.506686684E-1
3.400004308E0,-5.113363266E-3,7.022261620E-3,1.590442657E-1,1.592813144E-1
3.409985846E0,-1.105511189E-2,4.071921110E-3,1.570444107E-1,1.574856913E-1
3.419987000E0,-1.690208912E-2,9.042263031E-3,1.430521011E-1,1.443306855E-1
3.429992231E0,-1.477831602E-2,7.042020559E-3,1.370582581E-1,1.380324410E-1
3.439997769E0,-6.762385368E-3,4.074722528E-3,1.350574493E-1,1.352880181E-1
3.450707385E0,-1.830518246E-3,1.891008019E-2,1.500616074E-1,1.512594722E-1
3.461082923E0,-3.874808550E-3,1.974472404E-2,1.600675583E-1,1.613272807E-1
3.470008154E0,-1.940786839E-3,1.266771555E-2,1.490688324E-1,1.496186969E-1
3.479992692E0,-3.973782063E-3,1.258537173E-2,1.420707703E-1,1.426824666E-1
3.493937923E0,-3.013491631E-3,-2.287209034E-3,1.310625076E-1,1.311170979E-1
3.499994616E0,-7.000178099E-3,-3.142595291E-3,1.360569000E-1,1.362731024E-1
3.510171923E0,-1.783725619E-2,6.860673428E-3,1.450634003E-1,1.463168707E-1
3.520345769E0,-2.261435986E-2,1.968863606E-2,1.510810852E-1,1.540277442E-1
3.529991000E0,-1.647627354E-2,1.853144169E-2,1.500930786E-1,1.521276246E-1
3.539992385E0,-9.428054094E-3,9.491652250E-3,1.380977631E-1,1.387442677E-1
3.549997846E0,-2.477198839E-3,-1.392722130E-3,1.310901642E-1,1.311209645E-1
3.560842846E0,-5.629360676E-4,7.009208202E-4,1.510829926E-1,1.510856672E-1
3.571046154E0,-6.502866745E-4,2.769231796E-3,1.600751877E-1,1.601004598E-1
3.580006616E0,-7.379353046E-4,2.838432789E-3,1.630697250E-1,1.630960958E-1
3.590014692E0,-8.714854717E-3,2.905607224E-3,1.600666046E-1,1.603300008E-1
3.600272000E0,-6.716161966E-3,6.914168596E-3,1.550664902E-1,1.553657907E-1
3.610030231E0,-3.757596016E-3,4.948645830E-3,1.510629654E-1,1.511907012E-1
3.621462539E0,-2.808213234E-3,2.020120621E-3,1.450576782E-1,1.450989213E-1
3.629986000E0,-3.845900297E-3,3.078371286E-3,1.480541229E-1,1.481360545E-1
3.639986000E0,-6.843179464E-3,7.082134485E-3,1.510534286E-1,1.513741195E-1
3.650893308E0,-1.079073548E-2,1.399543881E-2,1.570596695E-1,1.580507895E-1
3.661205923E0,-7.779628038E-3,1.884207129E-2,1.600666046E-1,1.613594254E-1
3.670060154E0,-9.738028049E-3,2.263000607E-2,1.530780792E-1,1.550478787E-1
3.680005692E0,-1.067736745E-2,2.043950558E-2,1.450901031E-1,1.469112576E-1
3.690102539E0,1.213759184E-3,1.630654931E-2,1.440916061E-1,1.450164395E-1
3.700102539E0,-1.919060946E-3,1.994669437E-2,1.501026154E-1,1.514343044E-1
3.710051769E0,-1.919060946E-3,1.994669437E-2,1.501026154E-1,1.514343044E-1
3.720070923E0,-9.877979755E-3,1.583319902E-2,1.541099548E-1,1.552357654E-1
3.730003692E0,-1.574790478E-2,2.162995934E-2,1.471242905E-1,1.495373147E-1
3.740574385E0,-1.561099291E-2,2.930489182E-2,1.381444931E-1,1.420787836E-1
3.749986846E0,-1.350587606E-2,2.898663282E-2,1.391639709E-1,1.427909114E-1
3.760155077E0,-7.491827011E-3,2.473780513E-2,1.451749802E-1,1.474579986E-1
3.770112539E0,-6.492853165E-3,2.350980043E-2,1.491861343E-1,1.511666978E-1
3.780496077E0,-7.481962442E-3,2.624616027E-2,1.501989365E-1,1.526583152E-1
3.789986462E0,-1.551270485E-3,1.809158921E-2,1.472034454E-1,1.483191370E-1
3.800078000E0,7.252931595E-3,6.111741066E-3,1.541948318E-1,1.544862601E-1
3.809993000E0,5.086123943E-3,5.150854588E-3,1.661853790E-1,1.663429595E-1
3.819986077E0,-6.918489933E-3,1.406958699E-2,1.651887894E-1,1.659311752E-1
3.830413385E0,-1.579308510E-2,2.285623550E-2,1.532039642E-1,1.557025488E-1
3.840000462E0,-1.566126943E-2,2.460715175E-2,1.442213058E-1,1.471413346E-1
3.850655077E0,-1.060199738E-2,1.943254471E-2,1.452312469E-1,1.469086152E-1
3.859986231E0,-2.659201622E-3,1.532340050E-2,1.532344818E-1,1.540217010E-1
3.870000616E0,1.228660345E-3,1.817649603E-2,1.552362442E-1,1.563015871E-1
3.879984846E0,-2.821773291E-3,1.900538802E-2,1.432418823E-1,1.445247523E-1
3.891607077E0,-9.769439697E-3,1.193180680E-2,1.382474899E-1,1.391049188E-1
3.900000385E0,-1.070326567E-2,1.185905933E-2,1.392536163E-1,1.401669249E-1
3.910040385E0,-8.668959141E-3,1.474753022E-2,1.412601471E-1,1.422921982E-1
3.919996000E0,-1.356458664E-2,1.463797688E-2,1.422700882E-1,1.436629610E-1
3.930012692E0,-1.248073578E-2,6.647169590E-3,1.482734680E-1,1.489462149E-1
3.939992616E0,-1.437562704E-2,-5.174994469E-3,1.552686691E-1,1.560185849E-1
3.949985231E0,-1.624542475E-2,-7.958203554E-3,1.562643051E-1,1.573079142E-1
3.959998385E0,-1.019269228E-2,-5.773574114E-3,1.472587585E-1,1.477239557E-1
3.970473616E0,-2.259254456E-3,4.276037216E-3,1.602525711E-1,1.603255291E-1
3.979995462E0,-3.313511610E-3,1.024788618E-2,1.682519913E-1,1.685963555E-1
3.989991154E0,-1.521071792E-2,1.120999455E-2,1.712579727E-1,1.722971942E-1
4.000021154E0,-2.200663090E-2,4.260569811E-3,1.612644196E-1,1.628147944E-1
4.009985923E0,-1.883810759E-2,3.609359264E-4,1.542663574E-1,1.554127202E-1
4.019997308E0,-1.374128461E-2,5.391448736E-3,1.542692184E-1,1.549738119E-1
4.030164231E0,-1.954746246E-2,9.355396032E-3,1.392793655E-1,1.409551999E-1
4.039986923E0,-2.034223080E-2,7.348597050E-3,1.392879486E-1,1.409572306E-1
4.050004154E0,-9.296506643E-3,7.341176271E-3,1.382894516E-1,1.387958585E-1
4.060040000E0,-1.368016005E-3,9.308397770E-3,1.432886124E-1,1.435971593E-1
4.069998616E0,-2.423703671E-3,1.519015431E-2,1.422920227E-1,1.431210497E-1
4.079986769E0,-5.432814360E-3,1.605376601E-2,1.362972260E-1,1.373469063E-1
4.089987846E0,4.690289497E-4,9.025931358E-3,1.442947388E-1,1.445775192E-1
4.099986154E0,9.244948626E-3,7.031023502E-3,1.512851715E-1,1.517303776E-1
4.109995616E0,4.094660282E-3,9.004175663E-3,1.452798843E-1,1.456162292E-1
4.119987000E0,-5.907148123E-3,5.028694868E-3,1.362791061E-1,1.364997324E-1
4.129989616E0,-1.181915402E-2,1.233220100E-4,1.322784424E-1,1.328054740E-1
4.140415693E0,-1.666009426E-2,-7.686614990E-4,1.322803497E-1,1.333275684E-1
4.151800462E0,-1.454052329E-2,-6.590783596E-4,1.412792206E-1,1.420270375E-1
4.159998385E0,-3.585100174E-3,4.398822784E-4,1.542739868E-1,1.543162644E-1
4.169990616E0,1.017788053E-2,5.466282368E-3,1.502618790E-1,1.507053475E-1
4.180445769E0,1.093029976E-2,9.436696768E-3,1.502532959E-1,1.509456049E-1
4.189997231E0,-3.120720387E-3,7.437825203E-3,1.532506943E-1,1.534628145E-1
4.200020462E0,-1.500016451E-2,6.448954344E-3,1.472568512E-1,1.481592865E-1
4.209987000E0,-8.965909481E-3,1.040461659E-2,1.482591629E-1,1.488939991E-1
4.219986693E0,-2.030372620E-3,9.375512600E-3,1.492586136E-1,1.495665617E-1
4.229998154E0,-1.175701618E-4,5.395770073E-3,1.382532120E-1,1.383585154E-1
4.240000231E0,2.753615379E-3,3.444284201E-3,1.382455826E-1,1.383158942E-1
4.249998616E0,-1.322925091E-3,5.473464727E-3,1.542415619E-1,1.543443176E-1
4.259992000E0,-4.145801067E-4,4.519671202E-3,1.622352600E-1,1.622987335E-1
4.271919000E0,4.428148270E-3,-1.355797052E-3,1.502227783E-1,1.502941443E-1
4.279992846E0,1.323550940E-3,-4.198998213E-3,1.322116852E-1,1.322849692E-1
4.290128846E0,-1.454770565E-2,-2.072423697E-3,1.322116852E-1,1.330257884E-1
4.300060077E0,-1.639944315E-2,3.969341516E-3,1.392154694E-1,1.402342480E-1
4.310067769E0,1.489341259E-3,1.091015339E-2,1.382131577E-1,1.386510964E-1
4.319986000E0,1.419574022E-2,1.381146908E-2,1.432046890E-1,1.445678342E-1
4.330094616E0,1.489242911E-2,2.456909418E-2,1.502037048E-1,1.529267072E-1
4.340437923E0,9.662389755E-3,2.728939056E-2,1.502075195E-1,1.529717998E-1
4.349986539E0,-1.409173012E-3,1.616257429E-2,1.482105255E-1,1.490958566E-1
4.362126693E0,-2.466440201E-3,1.012173295E-2,1.472101212E-1,1.475782930E-1
4.370011693E0,-3.507107496E-3,7.121235132E-3,1.442079544E-1,1.444262646E-1
4.380049539E0,-7.490009069E-3,9.091585875E-3,1.432104111E-1,1.436940465E-1
4.389984693E0,-5.505651236E-3,1.301229000E-2,1.502132416E-1,1.508762733E-1
4.400003693E0,1.381814480E-3,7.017076015E-3,1.502084732E-1,1.503786361E-1
4.409984462E0,3.243863583E-3,1.178979874E-4,1.471986771E-1,1.472344629E-1
4.420292539E0,-1.820236444E-3,-7.702410221E-4,1.431894302E-1,1.432030707E-1
4.430004539E0,-4.841357470E-3,-6.596148014E-4,1.431846619E-1,1.432680049E-1
4.439992539E0,-1.374804974E-2,6.360054016E-3,1.591863632E-1,1.599054639E-1
4.452873693E0,-7.732331753E-3,1.229065657E-2,1.481904984E-1,1.489002115E-1
4.461927385E0,-4.752248526E-3,1.319897175E-2,1.411943436E-1,1.418895323E-1
4.470491000E0,-9.708255529E-3,1.706194878E-2,1.492023468E-1,1.504882076E-1
4.479986308E0,-1.164200902E-2,1.693341136E-2,1.562118530E-1,1.575576714E-1
4.490038231E0,-1.750338078E-2,1.089593768E-2,1.652193069E-1,1.665007783E-1
4.499987154E0,-7.500499487E-3,2.965986729E-3,1.672153473E-1,1.674097576E-1
4.510671462E0,8.288472891E-3,6.976902485E-3,1.592063904E-1,1.595745929E-1
4.519996154E0,4.137068987E-3,9.939610958E-3,1.492023468E-1,1.495902788E-1
4.530051308E0,1.031547785E-3,1.088422537E-2,1.431999207E-1,1.436166694E-1
4.540005154E0,3.886491060E-3,4.910916090E-3,1.371936798E-1,1.373365490E-1
4.549995000E0,-3.157079220E-3,-2.946138382E-3,1.391839981E-1,1.392509684E-1
4.559987462E0,-1.503422856E-2,-8.719950914E-3,1.471796036E-1,1.482022310E-1
4.569986385E0,-1.590245962E-2,-1.046806574E-2,1.501731873E-1,1.513752119E-1
4.579987308E0,-1.478743553E-2,-6.275296211E-3,1.511688232E-1,1.520199352E-1
4.589986077E0,-1.171520352E-2,4.761397839E-3,1.501693726E-1,1.507008870E-1
4.600374308E0,-5.725920200E-3,9.725779295E-3,1.471719742E-1,1.476040885E-1
4.610553154E0,2.151191235E-3,8.169710636E-4,1.471624374E-1,1.471804269E-1
4.620185769E0,3.015697002E-3,-5.008637905E-3,1.501483917E-1,1.502621723E-1
4.630369693E0,-2.052098513E-3,-5.820959806E-3,1.601371765E-1,1.602560763E-1
4.639999308E0,-4.090070724E-3,-1.056745648E-2,1.561241150E-1,1.565347856E-1
4.650111308E0,-3.136605024E-3,-1.130321622E-2,1.451091766E-1,1.455825337E-1
4.660023154E0,-5.156099796E-3,2.760767937E-3,1.491060257E-1,1.492206893E-1
4.670000231E0,-6.167083979E-3,1.663798094E-2,1.591110229E-1,1.600973859E-1
4.679989077E0,-8.153140545E-3,1.158824563E-2,1.631145477E-1,1.637287904E-1
4.691312846E0,-8.135557175E-3,-4.248231649E-3,1.591062546E-1,1.593707470E-1
4.699990616E0,-2.202987671E-3,-7.042944431E-3,1.610956192E-1,1.612645489E-1
4.710633462E0,3.647506237E-3,-3.878980875E-3,1.710805893E-1,1.711634272E-1
4.721990693E0,3.502905369E-3,-2.733796835E-3,1.660680771E-1,1.661275119E-1
4.729992000E0,-6.499081850E-3,8.254110813E-3,1.510696411E-1,1.514344904E-1
4.739989846E0,-1.931130886E-2,1.907977462E-2,1.410846710E-1,1.436727143E-1
4.750415539E0,-1.616969705E-2,1.299396157E-2,1.420946121E-1,1.436007693E-1
4.760002154E0,-1.012396812E-2,1.084417105E-3,1.560926437E-1,1.564243719E-1
4.769987385E0,-8.105993271E-3,-4.744231701E-3,1.560850143E-1,1.563673449E-1
4.780105693E0,-8.080691099E-3,-6.549060345E-3,1.430768967E-1,1.434544740E-1
4.790194769E0,-1.101806760E-2,-9.315073490E-3,1.510696411E-1,1.517570587E-1
4.800041462E0,-1.096862555E-2,-1.401564479E-2,1.680574417E-1,1.689971975E-1
4.809986616E0,-1.092198491E-2,-8.786469698E-3,1.710481644E-1,1.716215789E-1
4.820115693E0,-1.185595989E-2,3.167688847E-4,1.610469818E-1,1.614831090E-1
4.831145693E0,-1.080566645E-2,4.200339317E-4,1.610441208E-1,1.614067771E-1
4.840056231E0,-8.781850338E-3,2.492904663E-3,1.630420685E-1,1.632974328E-1
4.851773231E0,-5.800276995E-3,9.471625090E-3,1.630420685E-1,1.634199223E-1
4.859987539E0,1.087456942E-3,4.517465830E-3,1.620349884E-1,1.621015963E-1
4.871283769E0,-2.962201834E-3,-7.276475430E-3,1.470241547E-1,1.472339084E-1
4.880288616E0,-1.187619567E-2,-1.003178954E-2,1.370162964E-1,1.378954180E-1
4.889998231E0,-1.080697775E-2,-7.819414139E-3,1.380081177E-1,1.386512696E-1
4.899991462E0,-1.874804497E-3,1.267015934E-3,1.530017853E-1,1.530185169E-1
4.910271693E0,8.905798197E-3,1.417475939E-2,1.559972763E-1,1.568929165E-1
4.923078000E0,8.016824722E-4,1.013368368E-2,1.489953995E-1,1.493417668E-1
4.929998616E0,-1.507875323E-2,8.122503757E-3,1.499996185E-1,1.509742674E-1
4.940083539E0,-2.087429166E-2,1.303946972E-2,1.470127106E-1,1.490587163E-1
4.950282462E0,-1.574271917E-2,1.098555326E-2,1.470212936E-1,1.482692698E-1
4.960649385E0,-8.713424206E-3,1.093479991E-2,1.500234604E-1,1.506735952E-1
4.970293923E0,-3.754585981E-3,1.088616252E-2,1.540250778E-1,1.544549450E-1
4.981549769E0,3.106653690E-3,3.936827183E-3,1.560163498E-1,1.560969292E-1
4.990514231E0,3.956705332E-3,1.027047634E-3,1.540069580E-1,1.540612004E-1
5.000000000E0,-3.090500832E-3,-3.818899393E-3,1.509971619E-1,1.510770601E-1
5.010053154E0,-4.127413034E-3,-1.689255238E-3,1.499891281E-1,1.500554153E-1
5.020028385E0,-2.188473940E-3,5.336999893E-3,1.479864120E-1,1.480987884E-1
5.031972000E0,-1.407662034E-2,1.028975844E-2,1.409931183E-1,1.420672016E-1
5.040111539E0,-1.692369580E-2,1.122769713E-2,1.430015564E-1,1.444365528E-1
5.050106693E0,-1.777011156E-2,1.314848661E-2,1.530122757E-1,1.546008282E-1
5.060079693E0,-1.663771272E-2,1.406177878E-2,1.590204239E-1,1.605055835E-1
5.076942385E0,-5.652546883E-3,1.002642512E-2,1.570224762E-1,1.574437630E-1
5.090000077E0,-3.703862429E-3,1.591765881E-2,1.550254822E-1,1.558845425E-1
5.100038462E0,-3.745377064E-3,2.565985918E-2,1.510353088E-1,1.532452960E-1
5.110001308E0,-4.770666361E-3,2.540230751E-2,1.490468979E-1,1.512713266E-1
5.120010077E0,-2.825587988E-3,1.825064421E-2,1.530513763E-1,1.541615833E-1
5.129997385E0,2.052515745E-3,6.264001131E-3,1.480445862E-1,1.481912616E-1
5.139999923E0,-4.967004061E-3,1.345753670E-3,1.440410614E-1,1.441329579E-1
5.150001462E0,-1.485261321E-2,4.388898611E-3,1.530437469E-1,1.538253914E-1
5.160002154E0,-1.178410649E-2,1.429572701E-2,1.560516357E-1,1.571475294E-1
5.170117000E0,-2.837836742E-3,2.011486888E-2,1.500558853E-1,1.514246677E-1
5.180002077E0,1.054555178E-3,2.091962099E-2,1.480617523E-1,1.495360329E-1
5.189989154E0,-3.982543945E-3,1.579958200E-2,1.500644684E-1,1.509464545E-1
5.199987077E0,-4.018366337E-3,1.876175404E-3,1.490602493E-1,1.491262057E-1
5.210027846E0,-4.049748182E-3,-1.185163856E-2,1.420469284E-1,1.425980072E-1
5.220016154E0,-5.066424608E-3,-1.059782505E-2,1.420345306E-1,1.425194388E-1
5.230039000E0,-4.102379084E-3,6.415575743E-3,1.500310898E-1,1.502242225E-1
5.240041539E0,-4.142016172E-3,1.531177759E-2,1.610355377E-1,1.618148672E-1
5.249998231E0,-1.009649038E-2,6.329387426E-3,1.560363770E-1,1.564907384E-1
5.260033923E0,-1.497131586E-2,-1.547336578E-3,1.430358887E-1,1.438255888E-1
5.269995231E0,-1.780039072E-2,7.442653179E-3,1.380434036E-1,1.393851796E-1
5.279997539E0,-1.369750500E-2,1.335480809E-2,1.470518112E-1,1.482909563E-1
5.291685231E0,2.040863037E-4,1.426109672E-2,1.550512314E-1,1.557058280E-1
5.299986923E0,7.011175156E-3,1.515319943E-2,1.540489197E-1,1.549511074E-1
5.309985231E0,-8.216500282E-5,1.406025887E-2,1.530494690E-1,1.536939738E-1
5.320914769E0,-1.751780510E-4,3.122627735E-3,1.560420990E-1,1.560734383E-1
5.329985923E0,7.202029228E-4,1.210600138E-3,1.540346146E-1,1.540410553E-1
5.341857077E0,-1.516428590E-2,2.285569906E-3,1.560354233E-1,1.567872211E-1
5.351240000E0,-2.394336462E-2,-4.543185234E-3,1.710367203E-1,1.727642467E-1
5.360059308E0,-2.273920178E-2,-1.413047314E-3,1.710386276E-1,1.725493557E-1
5.370233077E0,-1.858723164E-2,4.634350538E-3,1.670427322E-1,1.681375531E-1
5.380006385E0,-1.547834277E-2,4.681617022E-3,1.690454483E-1,1.698171376E-1
5.389990077E0,-1.635935903E-2,3.742843866E-3,1.710472107E-1,1.718685131E-1
5.399986077E0,-1.130414009E-2,9.719729424E-3,1.650514603E-1,1.657233878E-1
5.409987616E0,-1.124113798E-2,1.461946964E-2,1.530580521E-1,1.541650394E-1
5.419999616E0,-1.314657927E-2,1.451528072E-2,1.470670700E-1,1.483652554E-1
5.430087154E0,-1.223772764E-3,3.569632769E-3,1.530609131E-1,1.531074231E-1
5.439993693E0,6.724894047E-4,1.650810242E-3,1.530523300E-1,1.530627098E-1
5.449996770E0,1.556903124E-3,2.716004848E-3,1.510457993E-1,1.510782383E-1
5.459992539E0,-2.509087324E-3,4.762262106E-3,1.690406799E-1,1.691263614E-1
5.470203000E0,-1.145836711E-2,2.158734202E-2,1.740503311E-1,1.757578598E-1
5.479987308E0,-1.337745786E-2,2.732843161E-2,1.680669785E-1,1.707990304E-1
5.490002616E0,-1.131939888E-2,2.706420422E-2,1.610813141E-1,1.637308453E-1
5.499986000E0,1.560032368E-3,9.050607681E-3,1.660766602E-1,1.663304069E-1
5.509986231E0,6.373435259E-3,1.593828201E-4,1.690626144E-1,1.691827819E-1
5.519998154E0,2.693533897E-4,1.210653782E-2,1.690616608E-1,1.694947962E-1
5.530652770E0,-9.697318077E-3,2.389001846E-2,1.650724411E-1,1.670738812E-1
5.540316077E0,-1.359567046E-2,1.182383299E-2,1.470804214E-1,1.481799435E-1
5.550609385E0,-1.053604484E-2,7.813513279E-3,1.450824738E-1,1.456742373E-1
5.560021308E0,-1.541996002E-2,6.827086210E-3,1.600875854E-1,1.609733496E-1
5.570136923E0,-1.826718450E-2,7.828623056E-3,1.630935669E-1,1.642999967E-1
5.580236000E0,-7.264345884E-3,1.177451015E-2,1.620960236E-1,1.626853732E-1
5.590001231E0,-1.342028379E-3,1.171818376E-2,1.560955048E-1,1.565404851E-1
5.600014616E0,-1.028507948E-2,7.708221674E-3,1.430978775E-1,1.436739437E-1
5.610627770E0,-1.614379883E-2,3.754884005E-3,1.431016922E-1,1.440583760E-1
5.619992000E0,-1.700377464E-2,2.822101116E-3,1.571035385E-1,1.580462414E-1
5.631088616E0,-1.095721126E-2,-2.038925886E-3,1.711006165E-1,1.714632283E-1
5.639986077E0,1.916944981E-3,5.990803242E-3,1.690931320E-1,1.692100815E-1
5.651667923E0,9.686112404E-3,1.884108782E-2,1.630916595E-1,1.644618399E-1
5.659985923E0,3.541380167E-3,1.572677493E-2,1.550903320E-1,1.559258924E-1
5.669996231E0,-9.420901537E-3,6.737112999E-3,1.530914307E-1,1.535289166E-1
5.679998385E0,-1.630103588E-2,1.169046760E-2,1.690979004E-1,1.702835597E-1
5.690076616E0,-9.285688400E-3,1.856583357E-2,1.851043701E-1,1.862647095E-1
5.700116616E0,-2.358496189E-3,1.251584291E-2,1.801042557E-1,1.805540134E-1
5.709990308E0,1.522600651E-3,3.575116396E-3,1.620960236E-1,1.621425935E-1
5.720007616E0,4.367470741E-3,3.626197577E-3,1.480875015E-1,1.481962625E-1
5.732291385E0,6.186693907E-3,7.618248463E-3,1.450796127E-1,1.454111651E-1
5.740277923E0,1.074075699E-3,8.607357740E-3,1.600761414E-1,1.603109830E-1
5.749987616E0,-8.907318115E-3,8.604109287E-3,1.730775833E-1,1.735200878E-1
5.763933693E0,-2.072736621E-2,5.642026663E-3,1.680831909E-1,1.694503327E-1
5.770109462E0,-1.659378409E-2,6.656140089E-3,1.620874405E-1,1.630705253E-1
5.780026000E0,-5.612224340E-3,7.656604052E-3,1.570863724E-1,1.573729616E-1
5.790946539E0,6.204754114E-3,-2.205848694E-3,1.570730209E-1,1.572110004E-1
5.800001308E0,6.024807692E-3,-2.070963383E-3,1.560602188E-1,1.561902017E-1
5.809999231E0,9.160339832E-4,6.938487291E-3,1.570539474E-1,1.572098093E-1
5.819996308E0,-4.124045372E-3,1.188164949E-2,1.600561142E-1,1.605494972E-1
5.830236539E0,-8.104562759E-3,1.379245520E-2,1.530599594E-1,1.538936871E-1
5.839986231E0,-5.125492811E-3,1.370176673E-2,1.500625610E-1,1.507739411E-1
5.850138154E0,1.751214266E-3,1.461055875E-2,1.630630493E-1,1.637256645E-1
5.859985539E0,6.562829018E-3,1.550683379E-2,1.650600433E-1,1.659166975E-1
5.870217770E0,8.348554373E-3,1.245287061E-2,1.740531921E-1,1.746976990E-1
5.879996539E0,6.163924932E-3,1.239794493E-2,1.720485687E-1,1.726047885E-1
5.890079385E0,-4.864960909E-3,1.430559158E-2,1.570510864E-1,1.577763022E-1
5.900502308E0,-2.915561199E-3,1.716271043E-2,1.480560303E-1,1.490759780E-1
5.910268462E0,2.948284149E-3,1.209458709E-2,1.490545273E-1,1.495734720E-1
5.920049000E0,5.773305893E-3,9.067893028E-3,1.490468979E-1,1.494340507E-1
5.929985923E0,2.643674612E-3,9.038925171E-3,1.440439224E-1,1.443514557E-1
5.940567693E0,-1.523280144E-2,-8.447468281E-4,1.500434875E-1,1.508171078E-1
5.949997462E0,-1.906520128E-2,-7.261931896E-4,1.600446701E-1,1.611778697E-1
5.960143923E0,-1.594826579E-2,5.313336849E-3,1.680479050E-1,1.688865806E-1
5.969985539E0,-1.035928726E-3,1.522180438E-2,1.740484238E-1,1.747158559E-1
5.979986000E0,1.835972071E-3,1.513591409E-2,1.790466309E-1,1.796946374E-1
5.989991846E0,-1.247465611E-3,1.306983829E-2,1.690464020E-1,1.695554861E-1
6.000004462E0,-4.285544157E-3,7.080435753E-3,1.610450745E-1,1.612576028E-1
6.010910616E0,5.539774895E-3,1.850724220E-4,1.540327072E-1,1.541324049E-1
6.021014385E0,-1.531928778E-3,3.243088722E-3,1.500263214E-1,1.500691892E-1
6.030604770E0,-3.573447466E-3,6.256908178E-3,1.490240097E-1,1.491981029E-1
6.040080231E0,-5.589336157E-3,1.120445132E-2,1.540260315E-1,1.545341347E-1
6.049992693E0,-3.634274006E-3,7.210344076E-3,1.570234299E-1,1.572308956E-1
6.059997231E0,-1.708269119E-3,2.287775278E-3,1.620178223E-1,1.620429783E-1
6.070037846E0,4.136979580E-3,8.280187845E-3,1.590108871E-1,1.592800626E-1
6.080436308E0,1.027315855E-3,1.320034266E-2,1.550102234E-1,1.555746566E-1
6.090404231E0,-1.053571701E-3,9.178191423E-3,1.560077667E-1,1.562810689E-1
