"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.799988460E-1,4.199475050E-3,9.857445955E-3,1.551065445E-1,1.554761878E-1
6.909057690E-1,-6.806671619E-3,1.281031966E-2,1.651096344E-1,1.657456679E-1
7.008052310E-1,-1.275014877E-2,9.792059660E-3,1.621112823E-1,1.629064719E-1
7.100028460E-1,-9.717106819E-3,2.840638161E-3,1.481113434E-1,1.484569346E-1
7.199923850E-1,-7.699102163E-3,2.883821726E-3,1.351108551E-1,1.353607616E-1
7.308156920E-1,-7.623732090E-4,1.084288955E-2,1.441097260E-1,1.445190734E-1
7.409055380E-1,1.610219479E-4,1.278606057E-2,1.531085968E-1,1.536416340E-1
7.501136150E-1,-6.838500500E-3,1.075094938E-2,1.571102142E-1,1.576260366E-1
7.600040770E-1,-1.475059986E-2,6.760388613E-3,1.481142044E-1,1.490003376E-1
7.700040770E-1,-6.748020649E-3,1.072025299E-2,1.451158524E-1,1.456676704E-1
7.800437690E-1,-3.780275583E-3,1.859182119E-2,1.471204758E-1,1.483387363E-1
7.903364620E-1,-7.766008377E-3,1.648503542E-2,1.451253891E-1,1.462649850E-1
8.001743850E-1,-5.768865347E-3,1.636874676E-2,1.331310272E-1,1.342575364E-1
8.099916150E-1,-8.295774460E-4,1.526156068E-2,1.291332245E-1,1.300345842E-1
8.200145380E-1,3.058910370E-3,8.247733116E-3,1.431293488E-1,1.433994160E-1
8.320466920E-1,-2.000451088E-3,-1.643121243E-3,1.621217728E-1,1.621424400E-1
8.406457690E-1,-6.016254425E-3,2.421468496E-3,1.691179276E-1,1.692422295E-1
8.515713080E-1,-3.062874079E-3,1.039248705E-2,1.601171494E-1,1.604832904E-1
8.600256150E-1,-1.124501228E-3,6.399542093E-3,1.471147537E-1,1.472581726E-1
8.700902310E-1,5.725353956E-3,2.460390329E-3,1.491060257E-1,1.492361890E-1
8.800025380E-1,1.150774956E-2,3.507822752E-3,1.530942917E-1,1.535662569E-1
8.907776920E-1,-5.638301373E-4,4.539251328E-3,1.450891495E-1,1.451612345E-1
8.999973850E-1,-6.562590599E-3,6.546467543E-3,1.450891495E-1,1.453849550E-1
9.106756920E-1,-1.348000765E-2,1.841259003E-2,1.490993500E-1,1.508355072E-1
9.221375380E-1,-1.043143868E-2,2.124127746E-2,1.481084824E-1,1.499870972E-1
9.300126920E-1,-4.462540150E-3,1.910400391E-2,1.531143188E-1,1.543660321E-1
9.400104620E-1,-3.505617380E-3,1.007732749E-2,1.601133347E-1,1.604684449E-1
9.549392310E-1,-1.540961862E-2,-1.801908016E-3,1.631116867E-1,1.638478732E-1
9.600140770E-1,-1.530852914E-2,-2.677291632E-3,1.611108780E-1,1.618586852E-1
9.703216920E-1,-1.223573089E-2,6.331384182E-3,1.481132507E-1,1.487525952E-1
9.801550000E-1,-8.211582899E-3,7.327169180E-3,1.371145248E-1,1.375554813E-1
9.900073080E-1,-6.210863590E-3,3.371477127E-3,1.381120682E-1,1.382927513E-1
1.000013000E0,2.672612667E-3,6.381005049E-3,1.441068649E-1,1.442728270E-1
1.010285154E0,8.481889963E-3,1.232406497E-2,1.591014862E-1,1.598033415E-1
1.020019923E0,4.340618849E-3,1.424625516E-2,1.620988846E-1,1.627815872E-1
1.029995231E0,-1.061630249E-2,8.241891861E-3,1.611022949E-1,1.616619438E-1
1.040013385E0,-1.254078746E-2,-3.618121147E-3,1.490983963E-1,1.496686137E-1
1.049989538E0,-6.533354521E-3,-1.510262489E-3,1.350936890E-1,1.352600104E-1
1.060413308E0,5.317509174E-3,4.517376423E-3,1.360855103E-1,1.362642605E-1
1.070009385E0,1.010337472E-2,6.014704704E-4,1.440734863E-1,1.444285616E-1
1.080794615E0,-1.957535744E-3,-1.287221909E-3,1.530656815E-1,1.530836102E-1
1.090445846E0,-7.945239544E-3,-1.175314188E-3,1.570606232E-1,1.572658499E-1
1.099991308E0,-6.944119930E-3,3.871649504E-3,1.560592651E-1,1.562616546E-1
1.109999000E0,-2.992898226E-3,7.867276669E-3,1.540575027E-1,1.542872828E-1
1.119994077E0,-1.062661409E-3,6.869703531E-3,1.440544128E-1,1.442220369E-1
1.130063231E0,-1.001548767E-2,1.937776804E-3,1.440534592E-1,1.444142101E-1
1.139996462E0,-1.984447241E-2,-1.941978931E-3,1.510543823E-1,1.523646967E-1
1.150009077E0,-1.276972890E-2,-3.795295954E-3,1.570510864E-1,1.576150817E-1
1.159992615E0,-6.769835949E-3,-3.651112318E-3,1.540441513E-1,1.542360589E-1
1.170009538E0,-7.754057646E-3,3.399342299E-3,1.480426788E-1,1.482845767E-1
1.180121538E0,-1.816540956E-3,1.134520769E-2,1.480417252E-1,1.484869218E-1
1.189992154E0,1.082718372E-3,9.317427874E-3,1.480398178E-1,1.483366927E-1
1.200044077E0,-8.887141943E-3,8.304089308E-3,1.490421295E-1,1.495376058E-1
1.210001154E0,-1.478016376E-2,1.322674751E-2,1.500492096E-1,1.513544363E-1
1.220009846E0,-1.072955132E-2,1.019254327E-2,1.550531387E-1,1.557577832E-1
1.229994615E0,-1.265650988E-2,3.250867128E-3,1.590528488E-1,1.595887342E-1
1.239997923E0,-1.357215643E-2,3.309041262E-3,1.600542068E-1,1.606626973E-1
1.249991615E0,-3.613710403E-3,9.284853935E-3,1.530542374E-1,1.533781829E-1
1.261009308E0,-2.665370703E-3,1.320406795E-2,1.470556259E-1,1.476712861E-1
1.271006615E0,-4.687875509E-3,1.312091947E-2,1.430578232E-1,1.437347400E-1
1.279999385E0,-7.674127817E-3,1.107096672E-2,1.500606537E-1,1.506640578E-1
1.290006385E0,-1.062580943E-2,1.003992558E-2,1.570644379E-1,1.577432901E-1
1.300655692E0,-6.626397371E-3,1.000455022E-2,1.510667801E-1,1.515426416E-1
1.311778385E0,4.227817059E-3,1.884862781E-2,1.490669250E-1,1.503133173E-1
1.319992769E0,3.097683191E-3,1.671919227E-2,1.470680237E-1,1.480477309E-1
1.330139923E0,-8.868217468E-3,6.723672152E-3,1.440696716E-1,1.444988697E-1
1.340000000E0,-1.474830508E-2,1.793086529E-3,1.380701065E-1,1.388671378E-1
1.349992538E0,-1.462891698E-2,2.847075462E-3,1.370735168E-1,1.378813260E-1
1.359987692E0,-1.057398319E-2,-1.040488482E-3,1.480703354E-1,1.484510558E-1
1.369993077E0,-3.616064787E-3,-9.277164936E-4,1.530628204E-1,1.531083394E-1
1.380003462E0,-1.682162285E-3,3.127872944E-3,1.480579376E-1,1.481005272E-1
1.390163154E0,-1.747339964E-3,2.196282148E-3,1.480522156E-1,1.480788148E-1
1.400757077E0,-1.815795898E-3,2.268284559E-3,1.550464630E-1,1.550736855E-1
1.409990462E0,-6.819158792E-3,1.353532076E-3,1.630420685E-1,1.631902236E-1
1.419994231E0,-3.864854574E-3,-1.520395279E-3,1.680345535E-1,1.680858706E-1
1.430824769E0,-9.459853172E-4,1.562267542E-3,1.600265503E-1,1.600369719E-1
1.439991462E0,-2.994984388E-3,8.544534445E-3,1.490259171E-1,1.493007132E-1
1.449985769E0,-5.013197660E-3,1.148179173E-2,1.430282593E-1,1.435759264E-1
1.459986615E0,-7.986187935E-3,1.042914391E-2,1.370315552E-1,1.376597013E-1
1.469992615E0,-5.003958941E-3,3.477513790E-3,1.410284042E-1,1.411599926E-1
1.479994538E0,-4.035592079E-3,1.552879810E-3,1.440238953E-1,1.440887915E-1
1.490272000E0,-9.986490011E-3,4.588156939E-3,1.450233459E-1,1.454391695E-1
1.499986615E0,-1.092535257E-2,8.568733931E-3,1.480274200E-1,1.486771792E-1
1.510002385E0,-6.916403770E-3,7.559984922E-3,1.420288086E-1,1.423979371E-1
1.520042769E0,4.928469658E-3,8.529126644E-3,1.310234070E-1,1.313931847E-1
1.530307154E0,2.802878618E-3,1.540115476E-2,1.320238113E-1,1.329486309E-1
1.540946000E0,-3.240257502E-3,5.423098803E-3,1.450214386E-1,1.451589712E-1
1.549999846E0,-5.261301994E-3,-1.454740763E-3,1.550149918E-1,1.551110739E-1
1.560079615E0,-3.310918808E-3,-7.252782583E-3,1.600036621E-1,1.602021752E-1
1.570098154E0,-3.357917070E-3,1.824885607E-3,1.549978256E-1,1.550449347E-1
1.580542769E0,-2.707305551E-2,1.472079754E-2,1.470155716E-1,1.502106205E-1
1.589996539E0,-3.171539307E-2,1.757150888E-2,1.410360336E-1,1.456220686E-1
1.607703000E0,-1.657181978E-2,2.235561609E-2,1.420526505E-1,1.447527350E-1
1.610052308E0,-1.642981172E-2,2.214276791E-2,1.420679092E-1,1.447188022E-1
1.619987923E0,-3.473013639E-3,2.490073442E-2,1.490774155E-1,1.511826187E-1
1.629992231E0,-4.502892494E-3,1.677197218E-2,1.510810852E-1,1.520758672E-1
1.640043923E0,-8.479416370E-3,9.740918875E-3,1.530838013E-1,1.536275894E-1
1.649985846E0,-7.470875978E-3,7.738471031E-3,1.550846100E-1,1.554571779E-1
1.659997615E0,-6.473511457E-3,7.733434439E-3,1.510848999E-1,1.514211324E-1
1.669997231E0,-4.503220320E-3,2.796232700E-3,1.510801315E-1,1.511730930E-1
1.679994846E0,-4.530310631E-3,-3.061383963E-3,1.470737457E-1,1.471753460E-1
1.689994846E0,-8.495837450E-3,-7.853299379E-3,1.380643845E-1,1.385482870E-1
1.700036846E0,-1.043850183E-2,-4.688858986E-3,1.440601349E-1,1.445139100E-1
1.710144000E0,-1.038292050E-2,5.335569382E-3,1.450605392E-1,1.455294932E-1
1.719986385E0,-9.343594313E-3,1.423728466E-2,1.470670700E-1,1.480497420E-1
1.730723462E0,-3.386735916E-3,1.315250993E-2,1.440696716E-1,1.447084268E-1
1.739986692E0,-3.423929214E-3,1.229971647E-3,1.380634308E-1,1.381113574E-1
1.750007846E0,-1.036676764E-2,-6.578534842E-3,1.430568695E-1,1.435827807E-1
1.760007846E0,-1.524555683E-2,5.445986986E-3,1.480617523E-1,1.489441784E-1
1.769985846E0,-1.906880736E-2,1.631703973E-2,1.450748444E-1,1.472296698E-1
1.780068769E0,-1.691517234E-2,1.421099901E-2,1.380853653E-1,1.398414948E-1
1.789986154E0,-8.875876665E-3,9.176313877E-3,1.380891800E-1,1.386780716E-1
1.800000769E0,3.495812416E-5,8.158177137E-3,1.410865784E-1,1.413222547E-1
1.810177308E0,1.915067434E-3,9.135544300E-3,1.540832520E-1,1.543657157E-1
1.820001615E0,-3.140598536E-3,8.134543896E-3,1.660804749E-1,1.663092249E-1
1.829986231E0,-8.120298386E-3,7.137387991E-3,1.510810852E-1,1.514674086E-1
1.840135923E0,-1.400664449E-2,1.008895040E-2,1.370878220E-1,1.381703439E-1
1.849989769E0,-7.980763912E-3,1.300042868E-2,1.390933990E-1,1.399274005E-1
1.859988154E0,1.901149750E-3,7.003217936E-3,1.480875015E-1,1.482651933E-1
1.871590308E0,3.756433725E-3,-2.855092287E-3,1.510753632E-1,1.511490248E-1
1.880102692E0,1.643270254E-3,2.212703228E-3,1.440677643E-1,1.440941258E-1
1.890078308E0,2.519160509E-3,1.410689950E-2,1.380672455E-1,1.388089156E-1
1.899996000E0,1.410782337E-3,1.893293858E-2,1.390705109E-1,1.403604412E-1
1.909992154E0,-7.571041584E-3,1.580706239E-2,1.420783997E-1,1.431553546E-1
1.919986615E0,-1.445767283E-2,7.797122002E-3,1.450824738E-1,1.460093956E-1
1.930092692E0,-1.533070207E-2,-1.087844372E-3,1.440830231E-1,1.449004188E-1
1.939987539E0,-1.421675086E-2,-2.947419882E-3,1.410808563E-1,1.418259895E-1
1.949993000E0,-1.312112808E-2,3.108173609E-3,1.440830231E-1,1.447126196E-1
1.960115154E0,-1.204562187E-2,4.152327776E-3,1.500825882E-1,1.506224489E-1
1.969990385E0,-9.999215603E-3,4.196316004E-3,1.510829926E-1,1.514716608E-1
1.981832308E0,-4.036903381E-3,2.268165350E-3,1.530780792E-1,1.531480966E-1
1.990093385E0,-2.099812031E-3,4.309624434E-3,1.500740051E-1,1.501505547E-1
1.999992692E0,-4.126966000E-3,1.419934630E-2,1.350774765E-1,1.358844286E-1
2.010443077E0,-1.598367095E-2,2.000683546E-2,1.360931396E-1,1.384813845E-1
2.020070615E0,-1.289018989E-2,1.883792877E-2,1.421041489E-1,1.439257228E-1
